,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element
109,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft,0.15,,3.0,50,2752,,,32,23Na
110,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft,0.15,,3.0,40,2762,,,32,23Na
111,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft,0.15,,3.0,40,2762,,,32,23Na
112,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft,0.15,,3.0,40,2762,,,32,23Na
113,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft,0.15,,3.0,40,2762,,,32,23Na
114,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft,0.15,,3.0,40,2762,,,32,23Na
115,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft,0.15,,3.0,40,2762,,,32,23Na
116,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft,0.15,,3.0,40,2762,,,32,23Na
117,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft,0.15,,3.0,40,2762,,,32,23Na
118,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft,0.15,,3.0,40,2762,,,32,23Na
119,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft,0.15,,3.0,40,2762,,,32,23Na
120,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft,0.15,,3.0,25,2767,,,32,23Na
121,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft,0.15,,3.0,25,2767,,,32,23Na
122,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft,0.15,,3.0,25,2767,,,32,23Na
123,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft,0.15,,3.0,25,2767,,,32,23Na
124,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft,0.15,,3.0,25,2767,,,32,23Na
125,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft,0.15,,3.0,25,2767,,,32,23Na
126,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft,0.15,,3.0,25,2767,,,32,23Na
127,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft,0.15,,3.0,25,2767,,,32,23Na
128,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft,0.15,,3.0,25,2767,,,32,23Na
129,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft,0.15,,3.0,25,2767,,,32,23Na
130,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
131,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
132,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
133,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
134,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
135,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
136,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
137,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
138,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
139,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft,0.15,,3.0,140,2730,Gibbsite,,32,23Na
